codebase,area
A6431-0097-00,346519.649137731
A6426-0119-00,6853.94945834988
A6422-0011-00,1087421.85196464
A6426-0123-00,9303.27143821042
A6425-0176-00,27299.328143998
A6425-0173-00,16293.1330372595
A6431-0136-00,227439.491625199
A6431-0126-00,145894.702853822
A6426-0161-00,16404.0319931345
A6430-0140-00,143611.68815409
A6430-0142-00,301043.779898033
A6426-0173-00,3927.74386962913
A6425-0228-00,134692.470989063
A6425-0245-00,306540.246685788
A6426-0180-00,17138.9751031793
A6423-0022-00,22849.857043163
A6426-0177-00,8954.87386286472
A6431-0143-00,138100.868084916
A6423-0024-00,23261.9882688104
A6426-0178-00,6240.91601577537
A6431-0168-00,416587.655834539
A6423-0048-00,140057.610863821
A6431-0160-00,287390.803868877
A6426-0196-00,10064.189180415
A6431-0151-00,38205.0629604774
A6424-0008-00,110514.103597513
A6432-0136-00,1600902.35001995
A6423-0057-00,69392.3226348107
A6424-0011-00,367569.268260988
A6430-0202-00,179950.396335206
A6430-0239-00,248128.87726504
A6430-0238-00,102416.207344068
A6423-0090-00,227698.633088299
A6422-0025-00,275146.089961543
A6431-0191-00,102476.002752823
A6425-0279-00,18867.5118775286
A6426-0226-00,233002.444250385
A6430-0255-00,29015.388746261
A6426-0220-00,12513.9725197886
A6423-0126-00,22159.2885807004
A6423-0125-00,7538.52441065776
A6422-0027-00,28374.6257762758
A6423-0134-00,33254.278733229
A6431-0222-00,154327.236245731
A6431-0224-00,281173.528174872
A6430-0260-00,46307.9915767873
A6423-0142-00,26922.5196798749
A6423-0137-00,13231.1219889095
A6430-0258-00,16799.0264734429
A6423-0141-00,50808.1330987605
A6424-0025-00,73995.6315004994
A6425-0306-00,15357.2073555026
A6422-0033-00,289563.304470274
A6430-0034-00,198385.665436719
A6435-0176-00,306611.354835258
A6434-0155-00,161415.83198305
A6434-0164-00,248690.266939427
A6430-0064-00,825665.860146168
A6435-0208-00,258509.40058369
A6435-0228-00,160134.321710153
A6435-0229-00,160059.830086197
A6430-0061-00,82223.972509355
A6430-0067-00,190035.041121917
A6430-0065-00,218168.981078522
A6435-0259-00,166114.270932302
A6425-0002-00,238945.017733716
A6435-0258-00,233700.735975493
A6430-0084-00,183454.479473687
A6431-0043-00,2799975.22032618
A6435-0276-00,99201.7955378407
A6426-0019-00,13310.2513805056
A6432-0115-00,1310096.58454675
A6431-0037-00,223002.19855239
A6426-0058-00,63640.1040210985
A6430-0104-00,300307.613441781
A6425-0027-00,36055.8174538441
A6425-0031-00,70055.5828939396
A6431-0063-00,213125.601805469
A6425-0022-00,19756.8095277818
A6425-0023-00,13408.2310010819
A6425-0098-00,5534.19305790872
A6425-0099-00,12650.6644932766
A6430-0105-00,170165.032126988
A6430-0109-00,274958.422999954
A6425-0097-00,4973.31503850752
